problem_id,source,mode,sample_idx,is_defeasible,is_monotonic,is_intensional,n_new_rules,n_defeasible_rules,n_contrary_rules,valid,generalises
nixon_diamond_anon,symbolic,,-1,True,False,True,3,2,2,True,True
flies_anon,symbolic,,-1,True,False,True,2,1,1,True,True
tax_law_anon,symbolic,,-1,True,False,True,4,3,2,True,True
complex_0000_anon,symbolic,,-1,True,False,True,4,2,2,True,True
complex_0001_anon,symbolic,,-1,True,False,True,4,2,2,True,True
complex_0002_anon,symbolic,,-1,True,False,True,4,2,2,True,True
complex_0003_anon,symbolic,,-1,True,False,True,4,2,2,True,True
complex_0004_anon,symbolic,,-1,True,False,True,4,2,2,True,True
complex_0005_anon,symbolic,,-1,True,False,True,4,2,2,True,True
complex_0006_anon,symbolic,,-1,True,False,True,4,2,2,True,True
complex_0007_anon,symbolic,,-1,True,False,True,4,2,2,True,True
complex_0008_anon,symbolic,,-1,True,False,True,4,2,2,True,True
complex_0009_anon,symbolic,,-1,True,False,True,4,2,2,True,True
nixon_diamond_anon,llama3-70b,guided,0,False,True,True,1,0,1,False,False
nixon_diamond_anon,llama3-70b,guided,1,False,True,True,1,0,1,False,False
nixon_diamond_anon,llama3-70b,guided,2,True,False,True,2,1,1,False,False
nixon_diamond_anon,llama3-70b,guided,3,False,True,True,1,0,1,False,False
nixon_diamond_anon,llama3-70b,guided,4,False,True,True,1,0,1,False,False
flies_anon,llama3-70b,guided,0,False,True,True,2,0,1,False,False
flies_anon,llama3-70b,guided,1,False,True,True,2,0,1,False,False
flies_anon,llama3-70b,guided,2,False,True,True,2,0,1,False,False
flies_anon,llama3-70b,guided,3,False,True,True,2,0,1,False,False
flies_anon,llama3-70b,guided,4,False,True,True,2,0,1,False,False
